video_id,video_title,video_like_count,video_view_count,comment_id,author,comment,timestamp,comment_like_count,reply_count,reply_id,reply_text,reply_author,reply_published
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgxhC9jSpxeq19qXruV4AaABAg,@THELYRICMASTEROG,Rwanda: HEY WHAT ABOUT US,2023-10-25 10:02:19,45,5,UgxhC9jSpxeq19qXruV4AaABAg.9wHqDskAYPTAD-abzhNogs,@@J_trew looks like it’s time you get out of your mom basement and touch grass and read a book hope that helps,@Cabsd,2025-01-07T17:24:42Z
eLPVDaaQybY,Top 10 Places To Visit in 2025 (Year of Travel),13014,786255,Ugy3iNVGM9mU9C3HdLt4AaABAg,@Artist_Rafael,One day I’ll copy cat all these locations minus the sky walk thing that was crazy,2025-02-27 04:35:23,1,1,Ugy3iNVGM9mU9C3HdLt4AaABAg.AF1Y703LJ6yAF1rXgpatlN,Where do you want to visit the most?,@RyanShirley,2025-02-27T07:33:48Z
d1ojTfHsNio,The best country to travel to in 2017 - Lonely Planet,1990,318131,UgjPraajm3sNtXgCoAEC,@KathouYoutube,Ottawa - Cap city! #GoSensGo #RNation,2017-06-02 01:20:52,0,0,,,,
Smh8I18DKLQ,Top 10 countries to visit in 2019 - Lonely Planet&#39;s Best in Travel,430,45021,UgzohYhEuk6Vaj35HzF4AaABAg,@aerosanderrs5466,Kyrgyzstan 🇰🇬 🇰🇬 🇰🇬 🇰🇬,2018-10-23 16:20:21,0,0,,,,
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,Ugxqom0pJ4zuLidWvGt4AaABAg,@generalgeo9468,"Hiii! So I happen to be Greek and here are some comments:

1. Don't go for the donkey rides in Santorini. The donkeys are treated terribly.
2. The Statue of Athena does not exist anymore.
3. Underrated tourist destinations: Thessaloniki (Greece's second largest city with rich history, many museums and awesome food)
The Ionian Islands (the Islands on the other side of the mainland)
Nafplion (Greece's former capital)
Monemvasia (old fort city)

That's it! Hope you enjoy our country!:)",2020-01-09 14:22:03,1083,27,Ugxqom0pJ4zuLidWvGt4AaABAg.93_1zMi4asm9ABL4c45pga,@@florencek9526 As a native from Peraia I'd have to agree,@kolexblue9920,2020-06-21T23:47:40Z
mgts8_L2xlk,Top 10 Best countries to visit in 2015,74,16010,UgiFymUgB41KwXgCoAEC,@raffaelecolucci4947,"Italy,Spain,Portugal,Greece, Brazil,Argentina,Chile,Japan,Thailand,China,Australia,Tanzania, USA,Canada and Czech Republic for top 15 in the world to visit :D",2015-09-28 02:49:45,1,9,UgiFymUgB41KwXgCoAEC.84ccVKwjd1E87k6yvIuASz,J.T. JOHNSON I'M DOING ME Why would you say so?,@adventuroustravels5151,2015-12-14T14:13:40Z
zjhtj7r_AvE,The Top 5 Countries YOU Should Visit in 2024! ✈️ 🌍 #travel #travelvlog #top5 #traveltips,0,1079360,UgzyxeTrik-9UbHNB8R4AaABAg,@Emeteria-u1k,Wow south Korea is nic to Philippines so I should go to South Korea,2024-09-21 07:23:07,1,0,,,,
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgzcwBYmzXDZDzL1ln14AaABAg,@henre2014,Were’s South Africa 🇿🇦,2022-07-12 12:00:55,14,6,UgzcwBYmzXDZDzL1ln14AaABAg.9dNqBHEg7Po9iHPF-PHUk5,yo i live there,@FrozyyFN,2022-11-11T06:38:17Z
T6Zl_DuRvRs,Top 10 countries to visit in 2020 - Lonely Planet,1175,126040,UgyGKuedGep2J6rTFSd4AaABAg,@SmartBoy-oe5fg,Pakistan???,2019-12-28 12:47:08,14,0,,,,
rESOc5PmBx8,10 Best Countries to Visit for Long Term Stays in 2025,3382,106627,UgxZ-gHz44BXcIhJKbN4AaABAg,@JennieHampton-r6m,Great video!,2024-09-07 12:36:13,4,1,UgxZ-gHz44BXcIhJKbN4AaABAg.A84wcMpDuGtA84xYvgNKIP,"Glad you enjoyed it. Thanks for watching.
Happy journeys,
John and Bev
https://retirementtravelers.com/",@RetirementTravelers,2024-09-07T12:44:21Z
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,UgziUGtec9aBKq0KdnZ4AaABAg,@Amreetfiles,this video maked by AI I am 100000000℅ sured,2024-04-22 19:13:58,1,0,,,,
d1ojTfHsNio,The best country to travel to in 2017 - Lonely Planet,1990,318131,UgjJwtV-Nsx3RngCoAEC,@lifewithsonduren,I am proud to be Canadian!,2016-10-26 17:19:28,171,11,UgjJwtV-Nsx3RngCoAEC.8KVhE72M6Ta8KWjT9yD-Y5,Ya same,@niutuiui9741,2016-10-27T02:58:14Z
UWKhvzdnctY,15 Best Countries to Visit in Asia - Travel Video,30440,2409214,UgxDKXM6vvnRbUvWuMt4AaABAg,@manitaroy1673,"My summary
Nepal: for mountains and rivers.
India: for colorful life, unique culture. And of course its very diverse.
Philippines: for beaches
Japan and korea: for technology and modern touch",2021-07-03 17:50:11,53,4,UgxDKXM6vvnRbUvWuMt4AaABAg.9PLRrDlcCS69RLnvAc8RLV,Thailand: for sex tourism.. sure it is,@aldas9174,2021-08-22T14:14:29Z
F0VIqLe4tpI,Top 10 Countries in Europe to Visit in 2021 | MojoTravels,8357,258691,UgyAzhWJSYdkk8tCZEp4AaABAg,@rob9853,Italy 🇮🇹 Spain 🇪🇸 France 🇫🇷  The world’s unbeatable trio.,2020-09-12 07:07:35,100,24,UgyAzhWJSYdkk8tCZEp4AaABAg.9DVGbNyR-8c9NKe_mftvt2,"@@son228 yes, as a french having the chance of visiting Croatie, it's a beautiful european country.",@olelain,2021-05-14T17:28:07Z
0CVKc989V90,"10 Cheapest English Speaking Countries To Retire, Visit or Live",5801,338557,UgzOdDNGW-Ftoxq2B614AaABAg,@Eric-jo8uh,"Wouldn’t go anywhere near South Africa, not if you paid me. It used to be great years ago, but now, it’s a pigsty.",2025-02-13 09:48:52,2,0,,,,
T6Zl_DuRvRs,Top 10 countries to visit in 2020 - Lonely Planet,1175,126040,Ugw0LVPar4CFRJRqMR14AaABAg,@bobgeels262,G E K O L O N I S E E R D,2020-01-21 14:47:41,1,1,Ugw0LVPar4CFRJRqMR14AaABAg.942zSeaW3h7984hd4bmhJq,Hallo medeNederlander,@dewisselspeler9080,2020-04-30T16:56:01Z
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,Ugy0aeRjFKozZ1ntmPx4AaABAg,@CraigFARRELL-x2f,"Great locations, however irritating and over the top narrative, almost made it unbearable to watch.  Pity as gorgeous footage.",2023-12-17 22:48:15,81,17,Ugy0aeRjFKozZ1ntmPx4AaABAg.9yRg04GaHuFA2xGhqYMjre,"It was obviously generated with AI, what do you expect.",@tcgplayaa,2024-05-02T21:10:20Z
F0VIqLe4tpI,Top 10 Countries in Europe to Visit in 2021 | MojoTravels,8357,258691,UgyrYKagJka3JSqXv_F4AaABAg,@andrewmathiasromania6449,Proud of my country! 🇷🇴😍,2020-06-27 10:13:16,11,5,UgyrYKagJka3JSqXv_F4AaABAg.9APKe-Cq2RW9UqoWKEinxB,Kinda sad that you guys took parts of hungary :/,@kinghner,2021-11-17T14:09:35Z
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,UgwyTZNNsQGAwvzNvPt4AaABAg,@JetLagRecords,"Scenic Hunter, I really liked this video! I subscribed too!",2024-04-27 04:07:19,2,2,UgwyTZNNsQGAwvzNvPt4AaABAg.A2iZeeEo76iA2jpL4pEU4i,Thank You ♥️♥️♥️,@scenichunter,2024-04-27T15:52:18Z
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,UgxKrpqxSQXVeDxz6YZ4AaABAg,@spartanconscience2693,Greece is not a country but a state of the EU. Hopefully Greece will leave the EU and the euro.,2020-02-22 14:31:38,3,14,UgxKrpqxSQXVeDxz6YZ4AaABAg.95LM36r018P97KIcyOQOAm,"@@spartanconscience2693 bro I never said that Greece should pay it's loans😂 They are slowing down the country. These loans are wayy to high to be paid off. EU should erase Greece's loan. Moreover after world war 1 and 2 Germany had to pay war money refunds to the other european countries but instead that never happened. That's unfair. Since Germany didn't pay, even though it caused a whole war, Greece should not pay either.",@norgafelius2072,2020-04-11T21:45:16Z
0CVKc989V90,"10 Cheapest English Speaking Countries To Retire, Visit or Live",5801,338557,UgwBjRS8-aKFIfxRiMR4AaABAg,@juanitahardy8583,Not one of those furnaces us attractive to me. Where are the cold places?,2024-08-13 01:31:29,6,2,UgwBjRS8-aKFIfxRiMR4AaABAg.A73NfjGL8i1ADLue-eh0Fw,High Five!...,@boudiccaprasutagus5709,2025-01-16T09:23:02Z
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgzcwBYmzXDZDzL1ln14AaABAg,@henre2014,Were’s South Africa 🇿🇦,2022-07-12 12:00:55,14,6,UgzcwBYmzXDZDzL1ln14AaABAg.9dNqBHEg7Po9iCZWfgkLT-,Man its way to dangerous,@funkydraconis974,2022-11-09T09:31:52Z
kYjeIRPn87s,Top 10 Best Countries To Visit In 2025 #top10 #countries #visit #2025,793,31062,Ugzen4vp5Z_ji5uzkzN4AaABAg,@SherinJose-yb2gg,Switzerland 🇨🇭,2024-12-17 01:35:23,7,0,,,,
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,Ugy0aeRjFKozZ1ntmPx4AaABAg,@CraigFARRELL-x2f,"Great locations, however irritating and over the top narrative, almost made it unbearable to watch.  Pity as gorgeous footage.",2023-12-17 22:48:15,81,17,Ugy0aeRjFKozZ1ntmPx4AaABAg.9yRg04GaHuFA2egu6frXE9,"For travel destinations without the irritating narrative:
https://youtube.com/@Tourpedia1?si=fLz-w5jtT-yDhqOT
Thank me later 😊",@Tourpedia1,2024-04-25T16:02:22Z
d1ojTfHsNio,The best country to travel to in 2017 - Lonely Planet,1990,318131,UgxVO84kiV-reD4J-HR4AaABAg,@huajie666liu8,East coast is more influenced by French culture. West coast has Vancouver.,2021-10-08 09:12:09,0,0,,,,
Nf9Gtmxpe0k,Greece Is Insider&#39;s No. 1 Country To Visit In 2020,6802,250238,Ugzd6I8fTRwUIJGVIRF4AaABAg,@MrDino1953,"One of the things that impressed me about Greece was that even in the most over-touristed places (Santorini, Acropolis in Athens etc), the local people did not seem jaded and did not hassle me for business like they do in some countries. I was half expecting to be hassled or ripped off due to the economic crisis and excessive tourism, but none of that happened. My favourite place is Crete, but don’t go there, I want it all to myself!",2020-01-20 22:50:39,166,3,Ugzd6I8fTRwUIJGVIRF4AaABAg.941Gw9tzuJS99h93KD4Y8e,"I'm tired of foreigners seeing us as some starving third world shithole, like this is all I hear about when I meet someone from abroad and reveal I'm greek. Life here is much better than some other supposedly rich countries",@EffyKai,2020-06-09T21:06:11Z
